"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/1999","10.1700","9.9000","11.1700","9.7370","","2.68%"
"12/01/1998","9.9050","9.9850","10.0650","9.7150","","-0.97%"
"11/01/1998","10.0025","10.0275","10.0825","9.8575","","-0.42%"
"10/01/1998","10.0450","10.2550","10.4550","9.9200","","-2.24%"
"09/01/1998","10.2750","10.1750","10.7100","9.8750","","1.63%"
"08/01/1998","10.1100","8.9700","10.1100","8.9700","","13.21%"
"07/01/1998","8.9300","8.9600","9.0080","8.7700","","-0.45%"
"06/01/1998","8.9700","8.8200","9.1000","8.7200","","1.53%"
"05/01/1998","8.8345","8.4965","8.9395","8.4595","","4.08%"
"04/01/1998","8.4880","8.5180","8.5550","8.4450","","-0.40%"
"03/01/1998","8.5220","8.5050","8.6830","8.4470","","0.02%"
"02/01/1998","8.5200","8.3700","8.6660","8.3100","","0.80%"
"01/01/1998","8.4520","8.0550","8.5100","8.0050","","4.73%"
"12/01/1997","8.0700","8.1850","8.2300","7.9050","","-1.88%"
"11/01/1997","8.2250","8.3550","8.4950","8.0850","","-2.20%"
"10/01/1997","8.4100","7.7850","9.1700","7.7240","","8.21%"
"09/01/1997","7.7720","7.7950","7.8450","7.7050","","-0.68%"
"08/01/1997","7.8250","7.8250","7.8620","7.7420","","0.03%"
"07/01/1997","7.8225","7.9325","7.9745","7.7515","","-1.40%"
"06/01/1997","7.9335","7.9175","8.0075","7.8925","","0.18%"
"05/01/1997","7.9195","7.9465","7.9585","7.8535","","-0.38%"
"04/01/1997","7.9500","7.9160","8.0010","7.8400","","0.40%"
"03/01/1997","7.9180","7.9100","8.1050","7.8830","","-0.09%"
"02/01/1997","7.9250","7.8300","8.0150","7.7350","","1.35%"
"01/01/1997","7.8195","7.8765","7.9065","7.7715","","-0.86%"
"12/01/1996","7.8870","7.8850","7.9550","7.8250","","-0.03%"
"11/01/1996","7.8895","7.9625","7.9775","7.8525","","-1.01%"
"10/01/1996","7.9700","7.5440","8.0900","7.5180","","5.77%"
"09/01/1996","7.5350","7.5700","7.6200","7.4800","","-0.59%"
"08/01/1996","7.5800","7.5880","7.6250","7.4630","","-0.07%"
"07/01/1996","7.5850","7.5850","7.6860","7.5550","","0.00%"
"06/01/1996","7.5850","7.4600","7.6500","7.4170","","1.54%"
"05/01/1996","7.4700","7.4200","7.5410","7.3600","","0.74%"
"04/01/1996","7.4150","7.5250","7.5930","7.3550","","-1.51%"
"03/01/1996","7.5290","7.5950","7.6550","7.4970","","-1.06%"
"02/01/1996","7.6100","7.3700","7.6400","7.3600","","3.26%"
"01/01/1996","7.3700","7.7000","7.7000","7.2900","","-4.22%"
"12/01/1995","7.6950","7.5450","7.8350","7.4850","","2.06%"
"11/01/1995","7.5400","7.0800","8.2650","7.0150","","6.57%"
"10/01/1995","7.0750","6.3950","7.3250","6.3900","","10.76%"
